S. No.,State,District,Location,Longitude,Latitude,Year,pH,EC (µS/cm at,CO3 (mg/L),HCO3,Cl (mg/L),F (mg/L),SO4,NO3,PO4,Total Hardness,Ca (mg/L),Mg (mg/L),Na (mg/L),K (mg/L),Fe (ppm),As (ppb),U (ppb),Risk_Level
5287,Meghalaya,West Garo Hill,Jengjal,90.3371,25.6706,2023,7.12,135,0,37,40,0.02,2,1,-,30,6,4,22,1,0.49,0.39,0.01,1
5288,Meghalaya,West Garo Hill,Rongram,90.2515,25.5957,2023,6.37,68,0,37,13,0.02,6,15,-,65,12,8,2,1,2.99,0.69,0.08,1
5289,Meghalaya,West Garo Hill,Phulbari,90.0384,25.8897,2023,6.54,153,0,92,13,0.12,11,0,-,75,18,7,9,0,5.01,0.84,0.08,1
5290,Meghalaya,West Garo Hill,Selsella,90.0139,25.6947,2023,7.14,136,0,49,23,0.03,22,3,-,40,8,5,13,10,0.42,0.03,0.07,1
5291,Meghalaya,West Garo Hill,Tikrikilla,90.1983,25.9467,2023,7.44,268,0,140,36,0.11,12,1,-,140,40,10,8,3,0.56,0.1,0.06,0
5292,Meghalaya,West Khasi Hills,Mairang,91.6392,25.5622,2023,7.48,169,0,43,30,0.01,9,12,-,50,14,4,15,7,0.07,0.53,0.01,1
5293,Meghalaya,West Khasi Hills,Nongdaju,90.9169,25.5501,2023,7.27,60,0,73,17,0.01,6,17,-,55,6,10,13,4,0.56,0.06,0.01,1
5294,Meghalaya,West Khasi Hills,Pungsoir,91.2786,25.5453,2023,6.64,27,0,24,10,0.03,0,1,-,20,6,1,3,8,18.4,0.1,0.39,1
5295,Mizoram,Kolasib,Tuichhuahen,92.6811,24.2575,2023,8.05,371,0,275,11,0.01,9,1,-,200,12,41,13,8,0.12,0.03,0.08,0
5296,Mizoram,Mamit,Zawlnum,92.335,24.1389,2023,7.67,405,0,61,64,0,26,4,-,115,32,8,39,3,0.04,0.55,0.7,0
5297,Mizoram,Serchhip,Thenzawl,92.7733,23.2811,2023,7.85,76,0,31,7,0,10,4,-,35,8,4,4,1,0.25,0.06,0.02,1
5298,Nagaland,Dimapur,7Th Mile Colony,93.7742,25.8439,2023,7.52,339,0,18,50,0,31,43,-,105,36,4,27,2,0.05,0.06,0.41,0
5299,Nagaland,Dimapur,Chumkidima,93.7831,25.8169,2023,6.75,418,0,122,73,0.02,38,2,-,130,34,11,45,18,0.69,0.03,0,0
5300,Nagaland,Dimapur,Diphupar,93.7733,25.8644,2023,7.84,481,0,43,113,0.01,13,26,-,105,24,11,72,4,0.43,0.22,0.27,0
5301,Nagaland,Dimapur,Douapur Dmc,93.6044,25.7611,2023,6.49,154,0,37,50,0.01,4,6,-,65,18,5,16,1,0.07,0.05,0.09,1
5302,Nagaland,Dimapur,Maibiram,93.6195,25.7736,2023,6.97,111,0,61,20,0.02,3,0,-,75,20,6,5,2,0.01,0.14,0.01,1
5303,Nagaland,Dimapur,Marwari Colony,93.7254,25.9056,2023,6.72,597,0,305,40,0.15,3,8,-,265,90,10,39,22,0.65,0.79,0.05,0
7479,Tripura,Dhalai,Ambassa,91.8469,23.924,2023,7.75,159,0,85,7,0.03,20,6,-,65,14,7,13,3,0.57,0.08,0.03,1
7480,Tripura,Dhalai,Lalchari,91.8544,23.9342,2023,6.64,106,0,79,7,0.01,6,1,-,40,8,5,13,3,0.62,0.35,0,1
7481,Tripura,Dhalai,Chawmanu,91.9989,23.8622,2023,7.19,375,0,183,43,1,16,7,-,105,20,13,60,3,1.1,0.02,0,1
7482,Tripura,Dhalai,Durga Chowmuhani,91.8603,24.1217,2023,7.05,220,0,104,40,0.32,4,15,-,95,28,6,17,3,0.08,0.4,0,1
7483,Tripura,Dhalai,Kali Kumar Para,91.86,24.1089,2023,6.57,72,0,18,17,0.07,0,17,-,25,6,2,8,4,0.6,0.37,0.04,1
7484,Tripura,Dhalai,Kamalpur,91.815,24.1696,2023,6.93,156,0,92,13,0.4,20,5,-,60,14,6,19,5,1,0.5,0.07,1
7485,Tripura,Dhalai,Nuna Cherra,91.8553,23.7872,2023,6.86,107,0,61,13,0.01,6,9,-,50,8,7,8,2,0.88,0.08,0.17,1
7486,Tripura,Dhalai,Manu New,91.9919,24.0025,2023,7.17,400,0,195,50,0.93,16,20,-,165,42,15,32,13,0.07,0.31,0,0
7487,Tripura,Dhalai,Sindhu Kumar,91.9606,23.9525,2023,6.85,405,0,250,40,0.95,13,3,-,190,52,15,35,18,0.06,0.08,0.07,0
7488,Tripura,Dhalai,Abhanga New,91.8308,24.0541,2023,7.06,170,0,104,17,0.01,6,4,-,85,30,2,10,3,1.1,0.04,0.01,1
7489,Tripura,Gomti,Bampur,91.6353,23.5622,2023,7.39,200,0,153,13,0.84,18,2,-,100,24,10,18,2,1.92,0.99,0.01,1
7490,Tripura,Gomti,Jatanbari,91.7583,23.42,2023,7.25,180,0,31,40,0.07,4,10,-,15,4,1,23,16,0.07,0,0,1
7491,Tripura,Gomti,Kankraban,91.4019,23.4875,2023,7.25,194,0,104,17,0.05,9,10,-,90,30,4,10,9,0.1,0.08,0.01,1
7492,Tripura,Gomti,Dewanbari,91.5353,23.5578,2023,6.87,141,0,73,13,0.04,13,7,-,60,10,8,12,2,1.9,0.31,0.02,1
7493,Tripura,Gomti,Noabari-2,91.5194,23.5911,2023,7.08,488,0,195,60,0.1,38,22,-,190,44,19,54,10,0.74,0.09,0.05,0
7494,Tripura,Gomti,Gorjee Bazar,91.5058,23.4267,2023,6.51,200,0,24,46,0,9,25,-,40,8,5,31,9,2.02,0,0,1
7495,Tripura,Gomti,Ompi Colony,91.6422,23.6718,2023,6.98,217,0,116,20,0.42,0,19,-,100,24,10,16,9,1.73,0,0.06,1
7496,Tripura,Gomti,Twidu,91.6553,23.7311,2023,6.65,130,0,18,23,0.22,5,19,-,15,4,1,16,12,0.06,0,0,1
7497,Tripura,Gomti,Dhawajnagar,91.465,23.5538,2023,6.63,68,0,31,13,0.01,1,6,-,30,6,4,7,2,0.85,0,0,1
7498,Tripura,Khowai,Kalyanpur,91.6094,23.9289,2023,7.36,176,0,104,17,0.08,1,6,-,70,24,2,20,2,0.11,0.62,0.08,1
7499,Tripura,Khowai,Kathalbari,91.6069,23.973,2023,7.33,148,0,79,13,0.08,5,9,-,75,28,1,5,10,0.08,0.05,0,1
7500,Tripura,Khowai,Khowai,91.605,24.0639,2023,7.36,174,0,140,7,0.1,4,0,-,85,12,13,14,2,0.05,0,0,1
7501,Tripura,Khowai,45 Miles,91.7639,23.9012,2023,7.91,711,0,574,23,1.1,7,0,-,130,36,10,191,1,0.49,0.1,0.01,0
7502,Tripura,Khowai,Tuimadhu,91.6864,23.835,2023,7.48,206,0,147,10,0.22,22,3,-,105,12,18,26,3,0.05,0.4,0.02,1
7503,Tripura,Khowai,Pachim Howaibari,91.5919,23.81,2023,6.93,427,0,104,86,0.07,17,35,-,100,34,4,58,39,1.54,0.97,0.01,0
7504,Tripura,North Tripura,Baghbassa,92.2219,24.3518,2023,6.85,182,0,98,23,0.35,8,3,-,90,22,8,10,3,0.03,0.02,0.02,1
7505,Tripura,North Tripura,Dharmanagar,92.1597,24.3789,2023,6.65,119,0,79,13,0.34,2,8,-,50,16,2,10,5,0.47,0.1,0.07,1
7506,Tripura,North Tripura,Krishnapur,92.1578,24.3394,2023,7.2,295,0,85,63,0.33,9,8,-,155,24,23,3,9,2.98,0.41,0.62,0
7507,Tripura,North Tripura,Narendra Nagar,92.2852,24.2414,2023,6.97,141,0,110,7,0.4,4,4,-,45,16,1,22,2,0.8,0.03,0.02,1
7508,Tripura,North Tripura,Ananda Bazar,92.2108,23.8481,2023,7.02,164,0,98,17,0.38,2,8,-,70,22,4,9,8,0.99,0.03,0.06,1
7509,Tripura,North Tripura,Dataram,92.2281,23.7628,2023,7.13,192,0,128,13,0.57,12,3,-,95,18,12,13,3,0.39,0.05,0.09,1
7510,Tripura,North Tripura,Satnala,92.2058,23.9756,2023,6.85,313,0,153,43,0.53,18,6,-,140,32,15,26,5,0.94,0.07,0.01,0
7511,Tripura,North Tripura,Sabual,92.2646,23.8656,2023,7.21,179,0,31,33,0.11,10,39,-,65,10,10,15,4,0.42,0.05,0.01,1
7512,Tripura,North Tripura,Churaibari,92.2467,24.4378,2023,7.16,183,0,24,33,0,36,17,-,50,12,5,18,6,0.43,0.09,0.07,1
7513,Tripura,North Tripura,Lalchhara,92.1922,24.4325,2023,7.14,386,0,147,80,0.53,8,7,-,150,44,10,40,6,0.9,0.39,0.1,0
7514,Tripura,North Tripura,Sanicherra,92.2325,24.3836,2023,6.98,432,0,116,86,0.35,31,13,-,140,28,17,46,22,0.02,0.26,0.08,0
7515,Tripura,North Tripura,Kanchanpur,92.195,24.0456,2023,6.51,465,0,79,126,0.27,16,14,-,115,20,16,64,11,0.86,0.37,0.01,1
7516,Tripura,North Tripura,Laljuri,92.1983,24.1119,2023,6.82,373,0,61,93,0.21,8,36,-,125,34,10,39,2,0.56,0.54,0.07,0
7517,Tripura,North Tripura,Naba Joypara (Natun Basti),92.2164,24.175,2023,7.29,105,0,79,33,0.28,9,4,-,125,10,24,7,5,0.74,0.1,0.01,1
7518,Tripura,North Tripura,Deocherra,92.1597,24.3103,2023,6.49,129,0,43,33,0.15,4,13,-,45,10,5,18,6,0.3,0.2,0.01,1
7519,Tripura,North Tripura,Panisagar,92.1522,24.2642,2023,6.46,308,0,31,56,0.13,9,46,-,50,10,6,33,29,0.47,0.06,0.07,1
7520,Tripura,North Tripura,Kunjanagar,92.2056,24.2456,2023,6.58,58,0,37,33,0.16,1,3,-,65,8,11,4,0,0.76,0.04,0,1
7521,Tripura,North Tripura,Rajnagar,92.1136,24.3185,2023,6.66,361,0,98,86,0.19,2,40,-,30,14,5,47,30,0.08,0.09,0,1
7522,Tripura,Sepahijala,Gongrai,91.4539,23.6567,2023,6.88,67,0,18,13,0.01,1,13,-,15,4,1,12,6,0.03,0.04,0,1
7523,Tripura,Sepahijala,Tufaniamura,91.4069,23.6986,2023,7.53,288,0,140,23,0.05,18,14,-,105,30,7,26,22,0.01,0,0.01,0
7524,Tripura,Sepahijala,Kanthalia Bazar,91.3297,23.3586,2023,7.74,271,0,201,7,0.26,5,2,-,155,26,22,24,3,0.05,0.07,0.06,0
7525,Tripura,Sepahijala,Lalmaibari,91.2733,23.5508,2023,6.54,77,0,43,13,0.01,11,4,-,30,6,4,18,3,0.19,0.77,0.02,1
7526,Tripura,Sepahijala,Rajib Nagar,91.3906,23.5712,2023,6.44,76,0,18,27,0,1,6,-,25,6,2,9,7,0.04,0.09,0.03,1
7527,Tripura,South Tripura,Michara,91.5069,23.2644,2023,7.33,353,0,214,40,0.1,6,9,-,155,48,8,38,7,0.08,0.1,0.04,0
7528,Tripura,South Tripura,Ananda Bandhu Para,91.7642,23.3394,2023,6.44,57,0,37,7,0.1,19,3,-,20,6,1,13,4,0.09,0.36,0,1
7529,Tripura,South Tripura,Purba Takka,91.6,23.05,2023,7.6,107,0,281,10,0.2,24,6,-,230,56,22,16,3,5.04,1.07,0.01,0
7530,Tripura,South Tripura,Srinagar,91.555,23,2023,7.03,256,0,43,76,0.01,4,3,-,65,14,7,37,9,0.11,0,0.01,1
7531,Tripura,South Tripura,Gaurangar Bazar,91.3879,23.0719,2023,6.97,141,0,116,7,0.04,2,1,-,75,16,8,11,2,0.02,0.07,0.03,1
7532,Tripura,South Tripura,Radhanagar,91.3294,23.2256,2023,7.11,54,0,61,10,0.01,2,0,-,35,6,5,8,4,0.07,0.03,0.07,1
7533,Tripura,South Tripura,Rajnagar,91.3917,23.2324,2023,6.89,118,0,92,7,0.03,2,0,-,55,10,7,17,3,0.03,0.03,0.01,1
7534,Tripura,South Tripura,Baishnabpur,91.75,23.0333,2023,6.75,210,0,43,40,0.21,0,1,-,95,24,8,6,4,1.07,0.03,0,1
7535,Tripura,South Tripura,Magroom,91.7744,23.0731,2023,6.67,149,0,61,13,0.19,66,4,-,40,8,5,42,1,2.09,0.07,0,1
7536,Tripura,South Tripura,Kalirbazar,91.5989,23.1133,2023,6.92,120,0,85,10,0.01,7,3,-,55,10,7,11,3,0.03,0.01,0,1
7537,Tripura,South Tripura,Manubazar,91.6481,23.0658,2023,7.46,239,0,165,7,0.09,6,4,-,95,20,11,33,5,0.14,0.09,0.03,1
7538,Tripura,South Tripura,Motu Mogpara,91.6516,23.0019,2023,6.95,116,0,98,7,0.02,4,1,-,55,8,8,12,2,0.09,0.05,0.01,1
7539,Tripura,South Tripura,Sabroom,91.7236,23.0062,2023,7.32,362,0,55,17,0.01,5,15,-,50,12,5,9,2,0.01,0.91,0,1
7540,Tripura,South Tripura,Ghorakhappa,91.8,23.15,2023,7.37,48,0,12,13,0.1,0,2,-,15,4,1,4,3,0.03,0.06,0.08,1
7541,Tripura,Unakoti,Jarultali,91.9858,24.2542,2023,6.75,118,0,61,27,0.14,2,4,-,35,8,4,18,4,0.37,0.01,0.01,1
7542,Tripura,Unakoti,Pancham-Nagar,91.9811,24.2183,2023,7.36,140,0,110,10,0.31,4,5,-,90,30,4,3,2,0.07,0.16,0.03,1
7543,Tripura,Unakoti,Gaurnagar,92.0333,24.2893,2023,6.49,266,0,31,70,0.08,17,36,-,60,10,8,35,11,0.1,0.5,0.01,1
7544,Tripura,Unakoti,Chandra- Moni Kami,92.1983,24.1119,2023,6.94,184,0,92,23,0.32,12,6,-,85,20,8,9,6,0.86,0,0.03,1
7545,Tripura,Unakoti,Dumdum,91.9452,24.1295,2023,6.52,79,0,61,7,0.22,5,5,-,30,8,2,13,3,0.68,0.08,0,1
7546,Tripura,Unakoti,Kanchanbari,91.9767,24.1136,2023,6.99,317,0,104,76,0.4,1,4,-,90,28,5,44,8,0.1,0.06,0,1
7547,Tripura,Unakoti,Kanchan-Cherra,92.0025,24.0855,2023,7.22,193,0,98,17,0.53,17,12,-,55,20,1,22,5,0.09,0.72,0,1
7548,Tripura,Unakoti,Kumarghat New,92.0419,24.1653,2023,6.81,95,0,55,10,0.18,14,1,-,50,10,6,4,3,0.94,0.66,0.04,1
7549,Tripura,Unakoti,Karaicherra,92.1514,24.14,2023,7.15,318,0,128,56,0.57,18,9,-,120,28,12,32,11,0.21,0.1,0,0
7550,Tripura,Unakoti,Pecharthal,92.0997,24.1988,2023,7.66,307,0,189,23,0.55,23,3,-,175,58,7,17,2,0.45,0.1,0.43,0
7551,Tripura,West Tripura,Khumulwng,91.4333,23.8183,2023,6.79,76,0,55,7,0.04,1,2,-,30,8,2,13,1,0.01,0.81,0.01,1
7552,Tripura,West Tripura,Chandmari,91.2983,23.8685,2023,7.28,162,0,12,40,0.01,0,31,-,15,2,2,24,9,0.92,0.23,0.07,1
7553,Tripura,West Tripura,Madhuban,91.2858,23.7886,2023,6.96,370,0,18,86,0.04,0,45,-,95,22,10,45,7,0.33,0.09,0,1
7554,Tripura,West Tripura,Pukua Bari,91.45,24.0117,2023,7.12,154,0,98,17,0.04,2,8,-,70,20,5,10,8,0.59,0.35,0.06,1
7555,Tripura,West Tripura,Sadhupara,91.5097,23.8103,2023,7.21,214,0,128,17,0.43,10,15,-,115,30,10,10,6,0.1,0.1,0.01,1
7556,Tripura,West Tripura,Gamcha Kobra Market,91.35,23.9036,2023,7.19,26,0,12,13,0.06,0,4,-,20,2,4,3,3,0.06,0.27,0.05,1
7557,Tripura,West Tripura,Ishanpur,91.3992,24.0453,2023,6.9,242,0,92,40,0.03,4,9,-,75,22,5,26,17,0.06,0.01,0,1
7558,Tripura,West Tripura,Simna,91.3933,24.0922,2023,7,119,0,43,20,0.01,3,14,-,55,16,4,12,3,0.43,0.41,0.01,1
7559,Tripura,West Tripura,R.K Nagar,91.3353,23.865,2023,6.76,96,0,61,20,0.21,0,2,-,30,8,2,16,6,0.21,0.13,0.01,1
